date, store_ID, product_ID, quantity_Sold, revenue 
2025-02-07, 95, LFI-995, 30, 886.74 
2025-02-14, 52, KAN-856, 50, 722.67 
2025-03-06, 98, AUF-046, 32, 680.58 
2025-02-21, 78, VWG-424, 16, 614.94 
2025-02-20, 61, TLA-455, 48, 99.06 
2025-03-16, 100, SKN-427, 47, 967.02 
2025-01-18, 41, None, 40, 919.95 
2025-02-07, 55, ADX-159, 40, None 
DATE_ERROR, None, UNG-490, 26, None 
2025-01-29, 64, VNI-800, 36, 748.16 
2025-01-15, None, None, None, 52.18 
2025-03-07, STORE_ERROR, AIB-231, 8, None 
2025-03-09, STORE_ERROR, KIQ-595, 27, 522.48 
2025-02-27, 46, HKT-077, 42, 282.36 
2025-02-16, 24, ZVL-498, 35, 540.65 
2025-01-09, 53, TSV-467, 14, 516.13 
2025-03-08, 49, XTV-136, 27, 740.05 
2025-03-16, 94, LXY-265, 34, 189.99 
2025-02-04, 86, LVB-100, 44, 811.25 
2025-02-05, 84, DNC-667, 6, 322.15 
2025-02-13, , EQO-710, 48, 776.19 
2025-01-21, 42, CNK-690, 43, 917.22 
2025-02-09, 100, None, 47, 112.91 
2025-02-14, 31, EGU-044, 7, 857.39 
2025-01-13, 49, PRODUCT_ERROR, 41, 735.88 
2025-01-06, 76, GOC-386, 10, 465.24 
DATE_ERROR, 54, XEM-185, 48, 303.71 
, 50, QMF-543, 14, 902.63 
, 100, MYD-650, 8, 617.65 
2025-02-16, 2, None, 26, 309.39 
DATE_ERROR, 97, VTT-835, 44, 414.24 
2025-01-19, None, BLN-953, 45, 422.37 
2025-02-01, 50, PRODUCT_ERROR, QUANTITY_ERROR, 753.72 
2025-03-22, 63, OTM-783, 43, 113.51 
2025-02-23, , NJX-942, 46, 506.55 
2025-03-10, 67, QLC-673, 15, 251.25 
None, 49, None, 34, 615.58 
2025-01-21, 91, , 6, 768.87 
2025-01-04, 46, FBH-726, 11, 174.24 
DATE_ERROR, STORE_ERROR, UBZ-564, 36, 906.4 
2025-03-05, 35, GQL-941, 32, REVENUE_ERROR 
2025-03-01, 1, HDZ-704, 28, 798.62 
None, 1, BYK-101, 20, 70.6 
2025-02-12, 87, MHE-459, 37, REVENUE_ERROR 
2025-03-18, None, ZNF-238, 25, None 
2025-03-22, 34, None, 26, 354.89 
DATE_ERROR, 60, ZSX-109, 48, 643.63 
2025-02-14, 66, AFA-804, 24, 477.17 
2025-01-29, 38, HGT-268, 24, 814.27 
DATE_ERROR, 8, LVS-326, 32, 688.01 
None, 80, QNQ-633, 21, 795.43 
2025-03-08, 16, EDD-055, 18, 512.35 
2025-01-30, 28, ROS-804, None, 778.71 
2025-01-29, 23, KEF-344, 43, 349.18 
2025-03-30, 2, UFM-401, 23, 373.73 
None, 60, , 18, 226.11 
DATE_ERROR, 54, BKS-452, 28, 135.25 
, 93, MLD-074, None, REVENUE_ERROR 
2025-02-24, 31, None, , 887.27 
2025-02-04, 83, ZUL-358, 34, 164.72 
2025-01-22, 34, CUT-954, 1, 655.56 
2025-03-03, None, PRODUCT_ERROR, QUANTITY_ERROR, 536.47 
2025-01-02, 23, SEV-975, 20, 305.66 
2025-03-03, 65, None, 43, REVENUE_ERROR 
2025-01-16, 72, DKU-190, 26, 429.36 
2025-01-03, 46, PJK-048, 35, 404.11 
2025-01-05, None, KUX-043, None, 948.62 
2025-01-30, 81, GYT-161, 10, 274.97 
2025-01-11, 22, USO-591, 25, 402.03 
2025-02-13, 6, HUC-222, 37, 222.44 
2025-01-17, 38, UVS-985, 24, 509.08 
2025-01-27, None, None, 7, 773.94 
DATE_ERROR, STORE_ERROR, None, QUANTITY_ERROR, 262.22 
2025-02-27, 89, EZE-271, 1, 322.04 
2025-01-12, , LFB-560, 49, 678.13 
2025-01-20, 92, SME-457, 14, 636.22 
DATE_ERROR, 90, None, 23, 764.05 
2025-01-29, 100, MFD-715, 9, 209.0 
2025-03-05, 58, VAU-229, None, 301.14 
2025-03-27, 69, THI-630, 3, 770.94 
2025-03-03, 33, VJX-012, 40, 121.43 
, 55, PRODUCT_ERROR, 16, 257.26 
2025-03-07, 43, None, 2, 180.44 
2025-01-03, , ZZA-166, 19, 220.61 
2025-02-06, None, AQP-273, None, 228.79 
2025-01-28, 29, NAW-414, 26, 226.93 
2025-01-15, 33, STF-580, 43, 157.73 
2025-02-09, 100, FJE-202, QUANTITY_ERROR, 437.03 
2025-02-11, 48, WXH-364, 18, 288.02 
2025-03-14, 46, AJU-920, 4, 70.58 
2025-02-13, 77, , 46, 744.77 
2025-01-13, 14, DNA-969, 26, 936.56 
2025-01-12, 70, ZPZ-938, 50, 403.65 
, 58, AHQ-665, 1, 192.16 
2025-03-25, 19, QGD-747, None, 930.39 
2025-03-19, 40, COW-822, 3, 62.83 
DATE_ERROR, 19, OPI-518, 5, 526.48 
2025-04-02, 35, DDD-492, 40, 396.84 
2025-03-22, 4, GGJ-566, 38, 321.8 
, 90, WVQ-174, 48, 757.32 
2025-02-09, 14, MKZ-052, 12, None 
2025-03-06, 10, QUL-445, 4, 872.1 
DATE_ERROR, 4, LRL-360, 17,  
2025-02-09, 62, BFR-142, 22, 164.35 
2025-02-17, 4, SVK-527, 23, 306.57 
2025-02-10, 91, RZX-101, , 310.05 
2025-01-06, 36, LST-948, 36, 773.07 
2025-04-01, 38, YVP-767, 39, 622.22 
2025-01-26, , LBA-006, 23, 603.84 
, 14, XYR-578, 23, 713.7 
2025-01-28, STORE_ERROR, XNF-353, 7, 284.3 
2025-03-27, 18, PGN-154, QUANTITY_ERROR, 720.53 
, 42, VEX-241, 38, 443.61 
2025-04-01, 31, FHR-956, 27, 955.77 
None, 54, YBK-048, 7, 997.63 
