store_id,store_name,location,demographics
1,Hughes and Sons,5195 Evans Hills Apt. 251,"(76.1925735,150.255427)"
2,"Jenkins, Smith and Hansen",944 Angela Branch Apt. 559,"(-16.2279245,-49.451484)"
3,"Jacobson, Lawrence and Copeland",156 Russell Mall Suite 214,"(18.949529,-179.910404)"
4,Myers LLC,39321 Garner Falls,"(-3.019765,96.953030)"
5,"Davidson, Smith and Lopez",None,DEMOGRAPHICS_ERROR
6,"Finley, Crawford and Adams",None,"(40.5048125,-177.141321)"
7,"Navarro, Martinez and Wolfe",,"(-37.9089745,-105.265723)"
8,Whitaker Group,71133 Nicholas Springs,None
9,"Thomas, Boyd and Sanders",80491 Cline Parkways Apt. 813,"(37.2253015,140.593346)"
10,Bolton Inc,6371 Young Mountain Suite 194,None
11,Lewis and Sons,5756 Valerie Canyon Suite 880,"(63.796519,105.520952)"
12,,216 Diane Stravenue Apt. 396,"(30.9096495,-1.240651)"
13,Nguyen Inc,591 Nicholas Lakes Suite 640,"(-63.2488635,-42.046212)"
14,Hunt-Wolf,3105 James Brooks,"(-78.5858925,33.400067)"
15,"Hall, Hawkins and Graham",140 Campbell Hollow Suite 858,"(3.9535855,80.213196)"
16,Diaz-Brown,9413 Jasmine Plains,"(3.9434125,-104.181141)"
17,"Myers, Hill and Clark",9540 Bailey Knolls Apt. 199,"(-18.000205,-50.561282)"
18,"Gonzalez, Arias and Adams",344 Hoover Mission Apt. 468,"(-60.315137,139.652118)"
19,Henderson-Pearson,50300 Karen Corner,DEMOGRAPHICS_ERROR
20,STORE_ERROR,552 Devon Junctions,"(-54.7461845,-123.019864)"
21,"Alvarado, Brown and Burgess",495 Underwood Squares,None
22,Lane-Lewis,799 Michelle Burg,"(-19.704192,20.054576)"
23,"Mccann, Hansen and Martinez",94010 Stephanie Prairie,"(-79.1682465,42.087593)"
24,Rich-Bailey,95481 Kimberly Orchard,"(15.3484025,174.855134)"
25,"Mitchell, Allen and Green",78951 Wilson Forge Suite 042,"(34.4393135,-65.902990)"
26,Lee-Sanders,26411 Sarah Heights Suite 005,"(-38.925376,123.770305)"
27,"Watson, Patterson and Proctor",LOCATION_ERROR,"(76.3775375,-162.897964)"
28,Harris-Livingston,7338 Lutz Expressway,"(1.7059295,30.432432)"
29,Briggs-Aguirre,3163 Caleb Ports,"(39.4713295,158.846391)"
30,"Smith, Chavez and Hodges",089 Cooper Overpass,"(-26.781582,-129.087463)"
31,STORE_ERROR,,"(34.6610175,166.771549)"
32,Miller Group,8781 Riley Centers,"(-38.696004,-153.021501)"
33,Waller-Wyatt,915 Morrow Freeway,"(52.8740595,-101.628039)"
34,,00406 Brittany Spur Apt. 595,"(34.9480655,-41.773479)"
35,"Walker, Carroll and Edwards",89070 Jesus Spring,"(-46.829173,133.120268)"
36,Pruitt-Brock,None,"(51.8823655,51.874009)"
37,Martin-Murphy,7792 Osborne Station,"(57.445058,146.034047)"
38,"Scott, Cox and Clayton",184 Sanders Causeway,"(-76.5703605,-53.157155)"
39,Klein-Perry,2057 Wilson Oval Apt. 394,"(35.6804005,31.588901)"
40,"Brown, Herman and Robertson",917 Santos Burg Apt. 464,"(85.5787735,156.019471)"
41,Perez-Collins,31953 Acosta Garden,"(87.997731,106.001436)"
42,STORE_ERROR,25994 Aaron Viaduct,"(-29.787174,-168.638335)"
43,Russell Ltd,303 Wilson Tunnel Apt. 182,"(-31.6751585,40.323789)"
44,Henry-Martinez,7902 Phillips Rapids Apt. 612,None
45,"Anderson, Ortiz and Nelson",2624 Benjamin Mountain,"(-45.755891,156.624071)"
46,Barry Group,89014 Ramos Shoal,"(-76.750464,81.232765)"
47,"Grant, Fisher and Berry",64073 Misty Drive,"(46.5670405,100.477944)"
48,"Skinner, Curtis and Lynch",33433 Ronald Estates,DEMOGRAPHICS_ERROR
49,"Vargas, Winters and Larsen",None,"(53.5976945,-2.645119)"
50,"Wang, Lopez and Shelton",7948 Justin Vista,"(76.4121595,-10.680567)"
51,Miller Group,40754 Tracey Plains Apt. 150,None
52,None,24350 Murphy Shoals,None
53,"Hensley, Jenkins and Fowler",221 Morrison Trail,"(-65.3578355,5.329098)"
54,"Campbell, Raymond and Rivera",566 Courtney Summit Apt. 209,DEMOGRAPHICS_ERROR
55,Brown Group,9973 Pope Station,"(85.319902,163.993736)"
56,Miller and Sons,732 John Rapids,"(41.830313,-70.234257)"
57,"Perkins, Robertson and Cain",82549 Rose Meadows Apt. 481,"(-65.7665695,137.777573)"
58,"Anderson, Juarez and Rodriguez",677 Roy Shores Apt. 119,"(41.407614,-110.531799)"
59,"Ward, Burns and Fuentes",23251 Mckinney Roads,"(77.8832565,-118.195663)"
60,STORE_ERROR,LOCATION_ERROR,"(69.3161455,119.273695)"
61,Miles-Garrison,68787 Keith Wall,None
62,Lopez Inc,298 Sarah Harbors,"(19.4717265,91.521102)"
63,"Dean, Hall and Smith",8577 King Shores Apt. 533,"(-44.2993615,-127.621677)"
64,"Robinson, Griffin and Bush",726 Freeman Cove Apt. 547,"(-47.209842,136.296443)"
65,Riley-Thompson,5709 Sullivan Cape,"(41.156669,-159.940232)"
66,"Macdonald, Dennis and Mcdonald",445 Berg View,"(-89.9274605,128.030105)"
67,Scott and Sons,88525 Christopher Knolls,"(-0.128077,-149.031958)"
68,Watson-Johnson,None,"(-35.513075,51.261448)"
69,Jones-Allen,3252 Bowman Keys,"(-88.3551525,117.251251)"
70,Waters-Frey,190 Thompson Pike Suite 758,"(5.505634,-155.875675)"
71,"Robinson, Harrison and Baker",40876 Sanchez Plaza Apt. 160,"(-12.239900,-1.438218)"
72,Humphrey Inc,LOCATION_ERROR,"(50.7175915,-137.538065)"
73,"Johnson, Hart and Ortega",6619 Charles Plains,"(-86.356477,95.609476)"
74,Castillo PLC,9118 Marquez Square Apt. 244,"(-8.7572215,43.494769)"
75,Torres-Evans,56207 Hayes Port Suite 783,"(1.757309,-175.145332)"
76,Li-Harding,73885 Cynthia Run,"(-22.2053415,-136.987406)"
77,"Dixon, Rios and Carter",33050 Melissa Canyon Apt. 039,"(8.8534165,78.545949)"
78,None,84837 Keith Springs Apt. 983,"(-18.553747,18.501480)"
79,Sandoval-Garcia,03350 Williams Stream Suite 887,"(-33.958050,166.465136)"
80,Hammond PLC,5090 Alexander Forest Suite 888,"(60.0752865,-87.711922)"
81,Welch-Hurst,92914 Myers Union,"(-31.8859005,-36.580226)"
82,"Stanley, Young and Howe",48467 Lisa Drive Apt. 518,"(0.112142,121.572808)"
83,Flores-Beltran,016 Ryan Mountains,"(26.821557,72.741193)"
597,Olson-Powell,LOCATION_ERROR,None
84,Becker-Duncan,922 Morris Light Suite 911,"(87.0048745,63.840144)"
85,"Fisher, Perry and Woodard",033 Jennifer Loaf,None
86,"Green, Martin and Schmidt",635 Barbara Unions,"(79.7185125,-162.696808)"
87,"Jimenez, Ortiz and Griffin",410 Sydney Causeway Suite 793,"(-15.5138385,149.283474)"
88,Harper-Jenkins,963 Soto Rapids Apt. 622,"(63.352769,19.256556)"
89,Sutton-Thomas,64192 Mary Ford,DEMOGRAPHICS_ERROR
90,Kelley-Barnes,9445 Robert Turnpike,"(18.3550785,-15.661225)"
91,Rivas-Johnson,30295 Jeffrey Ways Suite 928,"(89.708180,-53.519172)"
92,Stewart Inc,06849 Johnson Summit,"(-46.0442585,39.517536)"
93,"Wilson, Johnson and Stein",63013 Michael Extension Suite 272,"(51.6845165,97.515564)"
94,"Franklin, Schmidt and Thomas",843 Barbara Fork Apt. 742,DEMOGRAPHICS_ERROR
95,Richardson PLC,09412 Kevin Forest,None
96,"Cummings, Bishop and Martinez",785 Jessica Causeway,"(18.801113,119.346742)"
97,STORE_ERROR,525 Williams Loaf Suite 292,"(-53.0206815,61.178529)"
98,Lyons-Brown,27155 Romero Ways,"(81.7664535,-5.603199)"
99,None,6068 Davis Port Suite 339,"(-55.291167,-0.305407)"
100,Marsh PLC,68913 Jeffery Springs Suite 584,"(-12.3658595,-79.315232)"
101,Murray Group,0078 Angel Estates Suite 500,"(-50.643197,133.380217)"
102,Harper Ltd,975 Jessica Plains Apt. 728,"(-67.803901,119.714379)"
103,Vang-Li,7608 Brian Falls,"(-52.7284695,-10.314605)"
104,STORE_ERROR,595 Brown Mission Apt. 210,"(2.660181,158.100719)"
105,Oconnor Group,181 Baker Locks Suite 501,"(-37.1429075,-170.838625)"
106,Powell-Robles,958 Todd Cape Suite 241,"(10.0419295,-10.830049)"
107,Bass LLC,4141 Gibbs Cliff Apt. 380,"(-35.5701355,179.848553)"
108,Murphy-Campbell,74890 Henry Field Apt. 309,"(35.0533075,83.538723)"
109,Decker-Le,08818 Burgess Ranch Suite 862,"(55.264406,-126.798036)"
110,"Porter, Young and Anderson",0541 Bennett Overpass,"(-49.627698,0.112935)"
111,"Archer, Harris and Smith",2722 Jacob Villages Suite 561,"(43.142337,41.848027)"
112,"Burns, Foley and Patterson",,None
113,"Garcia, Molina and Allen",2708 Rodriguez Motorway,"(-52.460213,4.943161)"
114,Webb-Morgan,None,"(-68.022506,158.492868)"
115,Middleton-Castro,6011 Martin Curve Apt. 492,"(-89.0154705,-158.734648)"
116,"Chang, Price and Russell",629 Robinson Stravenue Suite 127,"(-34.727373,173.576444)"
117,King PLC,None,"(38.7331655,39.889001)"
118,None,49945 Mccarthy Creek,None
119,Johnson-Olson,594 Bradley Course,"(16.0164055,-85.309661)"
120,"Chandler, Barrett and Ross",76130 Matthew Circles Suite 731,"(63.2100525,-101.982245)"
121,Lewis-Baker,240 Fletcher Trafficway Suite 089,"(-27.891033,-133.775634)"
122,"Stanley, Kramer and Little",267 Payne River Suite 396,DEMOGRAPHICS_ERROR
123,"Moyer, Green and Church",3890 Lisa Forest Suite 654,"(31.1349275,-110.804266)"
124,Swanson Inc,77934 Cynthia Point Apt. 231,"(72.5212905,-175.232272)"
125,Hernandez Group,7725 Christina Lakes,"(-19.3508195,-90.595930)"
126,"Johnson, Smith and Thomas",793 Morton Shore,DEMOGRAPHICS_ERROR
127,Munoz-Alexander,84070 Silva Garden Suite 410,DEMOGRAPHICS_ERROR
128,Landry-Clements,32431 Melissa Station,"(40.6168825,-114.217884)"
129,"Haynes, Mckee and Turner",517 Peterson Lights Apt. 159,"(32.2617175,-132.015189)"
130,Garcia-Miller,0101 Martinez Mills,"(-86.1092725,-60.907289)"
131,"Lambert, Brown and Paul",684 Amanda Fort Suite 977,"(-12.5933015,162.887702)"
132,,623 Vanessa Stravenue,"(-1.158338,10.762694)"
133,"Delacruz, Martinez and Moore",79731 Chris Isle,None
134,Beck-Medina,4930 Vazquez Brooks,"(14.861957,49.498844)"
135,Scott-Bryant,5670 Stacy Lock Apt. 125,None
136,Cole-Turner,9543 Small Inlet Suite 513,DEMOGRAPHICS_ERROR
137,Gilmore-Wall,2531 Wells Isle Suite 092,None
138,Davis Ltd,900 Sean Manor Apt. 765,DEMOGRAPHICS_ERROR
