Date, Store_ID, Product_ID, Quantity_Sold, Revenue 
, 4, ODU-875, None, 918.73 
DATE_ERROR, STORE_ERROR, IRX-075, 16, 260.66 
2025-03-29, 14, SFA-575, 35, 220.43 
2025-03-28, 47, DCL-956, , 982.16 
2025-03-22, 28, ILA-408, 23, 661.39 
2025-01-02, 13, YLX-780, 20, 384.62 
2025-03-23, 42, IDC-372, 15, 205.11 
2025-01-03, 12, FNO-564, 38, 348.32 
2025-02-11, 66, RDE-369, , 746.61 
2025-02-17, 23, HTT-007, 24, 23.27 
2025-03-16, 3, MRV-860, 45, 484.11 
2025-02-20, 98, FXA-491, 3, 845.64 
2025-03-17, None, JWS-730, 2, 799.76 
2025-03-28, None, RHP-646, QUANTITY_ERROR, 234.27 
2025-01-10, 56, LHJ-079, 40, 737.16 
2025-02-06, 53, VBF-001, 7, 61.38 
2025-03-23, 16, JHL-608, 31, 436.71 
2025-01-08, STORE_ERROR, YBT-452, 17, 464.76 
2025-03-14, 32, NON-382, 2, 352.35 
2025-01-22, 78, EWS-857, 43, 994.99 
2025-01-21, 43, DRL-554, 29, 557.59 
2025-03-05, 65, VUJ-401, 9, 375.82 
2025-01-27, 75, NRX-973, 18, 874.87 
2025-02-08, 77, DYJ-844, 11, 496.45 
2025-03-08, 36, PNQ-198, QUANTITY_ERROR, 699.79 
2025-03-17, 97, OBM-399, 10, 624.38 
2025-01-08, 86, XHZ-926, 17, 971.41 
2025-01-20, 96, ENJ-826, , 344.31 
2025-03-03, None, NXB-901, 29, 946.35 
2025-02-24, 96, YVZ-513, 12, None 
DATE_ERROR, None, None, 38, 191.5 
2025-02-05, 18, KPK-623, 13, 172.18 
2025-02-24, 21, KMX-675, None, 879.42 
2025-01-10, 9, EUJ-484, QUANTITY_ERROR, 700.93 
2025-03-15, 7, PRODUCT_ERROR, 31, None 
2025-03-11, 74, QYT-228, 21, 410.73 
2025-03-12, 45, XXI-069, 12, 394.23 
2025-01-18, 72, GYV-814, 6, 19.53 
2025-01-16, 75, UPK-709, 19, 337.44 
2025-03-22, 36, EGX-403, 10, 567.0 
2025-01-12, 85, , 35, 697.0 
2025-01-15, 64, ZJH-087, 24, 379.44 
DATE_ERROR, 97, FHA-276, 21, 998.74 
2025-02-22, STORE_ERROR, BGJ-815, 16, 776.24 
2025-01-10, 15, KGY-019, 25, 402.86 
2025-01-03, 46, BUV-029, 12, 791.51 
2025-01-12, 52, YGG-621, QUANTITY_ERROR, 236.65 
DATE_ERROR, 19, MNO-021, 9,  
2025-03-28, 14, HVE-831, 16, 508.62 
2025-02-23, 74, QPG-226, 44, 573.53 
