Date, Store_ID, Product_ID, Quantity_Sold, Revenue 
2025-03-04, 81, ZBT-248, 27, 789.92 
2025-03-01, 59, IAC-457, 46, 349.04 
2025-01-10, 83, GKS-561, 48, 41.07 
2025-01-09, 10, SZK-258, 14, 495.19 
2025-02-23, 84, EGB-252, 30, 867.16 
2025-03-08, 49, HBA-788, 33, revenue_error 
2025-02-13, None, UXK-692, None, 863.24 
None, 34, , 28, 630.61 
2025-03-02, 43, TND-518, 25, 680.55 
2025-02-20, 35, OHR-731, 21, 395.37 
2025-03-02, , HVE-241, 14, 655.34 
2025-01-31, 92, ERO-541, 24, 453.53 
2025-01-16, 28, LQL-309, 13, 866.19 
2025-02-17, 2, TTN-582, 14, 123.34 
2025-02-17, 35, NRL-968, 14, 203.23 
2025-03-27, 74, DVT-743, 22, revenue_error 
2025-01-07, 65, VEX-806, 1, 281.38 
None, 44, ETY-526, 45, None 
2025-03-23, None, LIL-158, 8, 864.34 
None, None, UBB-800, 11, revenue_error 
2025-03-26, 15, product_error, 40, 571.88 
2025-02-23, 70, RRO-905, 35, 129.65 
2025-02-28, 40, PSM-863, 45, 528.76 
2025-03-15, 87, ZJW-433, 34, 518.71 
2025-01-02, 60, YMD-297, 36, 813.09 
2025-01-07, 73, None, quantity_error, 568.12 
2025-02-04, 18, UZH-518, 30, 389.65 
2025-01-03, 78, PHV-904, 14, revenue_error 
2025-03-25, 71, MGR-352, 22, 218.19 
2025-03-02, 28, ISK-200, 30, 573.02 
2025-03-02, 71, DRK-505, 2, 977.67 
2025-01-30, 84, FHG-764, 5, 31.39 
2025-01-29, 29, BQP-459, None, 502.29 
2025-01-09, 85, INS-493, 24, revenue_error 
2025-02-27, 95, None, 11, 563.07 
2025-03-07, 92, FMI-422, 45,  
, 97, TKE-158, 49, 862.48 
2025-02-13, 50, WCP-002, 35, None 
date_error, 24, XYH-240, 30, 258.51 
2025-01-05, 25, YML-100, 13, 435.45 
2025-02-06, 68, product_error, 2, 886.68 
2025-03-12, 1, product_error, 35, 836.53 
2025-02-26, 66, product_error, 32, revenue_error 
2025-02-05, 1, JTL-612, 30, 195.41 
2025-01-21, 5, product_error, 16, 470.79 
2025-01-27, 97, WUS-550, None, 526.46 
2025-01-08, 73, EGV-961, 9, 349.51 
2025-02-11, 63, PKU-525, 49, 905.05 
2025-01-20, 27, NRI-223, 41, 36.55 
None, 4, GQX-326, 7, 647.6 
2025-03-19, 63, FXV-211, 5, 846.45 
date_error, 62, LGX-386, 7, 668.85 
2025-02-03, 100, ICP-211, 7, 487.76 
2025-03-11, 79, GUW-243, 19, 680.77 
date_error, 68, FIK-247, 41, 843.6 
2025-03-19, 28, WSF-013, 15, 210.47 
2025-01-23, 63, HFK-353, 24, 467.79 
2025-03-26, 31, , 32, 147.65 
2025-01-26, store_error, SUV-115, 13, 232.99 
2025-02-08, 62, OJN-566, 33, 904.02 
2025-03-15, 88, MUD-493, 39, 216.73 
2025-03-15, 59, XYH-559, 6, 256.42 
2025-03-10, 80, WSQ-747, 42, 990.04 
2025-03-13, 51, KGM-190, 9, 633.77 
2025-01-14, 55, JJH-523, 7, 509.61 
2025-03-22, 96, STU-740, 25, 61.54 
2025-03-17, 1, QOD-092, 19, 285.94 
2025-03-25, 71, None, 2, 347.92 
None, 91, IPE-225, 11, 685.76 
2025-03-09, 99, PNG-605, 45, 317.91 
2025-03-18, 70, NKB-504, 8, 307.71 
2025-02-22, 23, ODB-027, 25, 857.46 
, 75, ZFH-286, 5, 898.21 
date_error, 99, UAR-779, 46, None 
2025-03-15, 25, JIR-268, 21, None 
2025-01-11, 99, QMJ-785, 18, 243.95 
None, 64, TPQ-257, 43, 193.1 
2025-01-25, 64, HWW-704, 11, 196.08 
, 59, None, 34, 658.29 
2025-01-31, 12, HGZ-398, None, 735.65 
2025-01-21, 26, APM-255, 15,  
2025-03-03, 31, PVN-893, 43, 855.72 
2025-01-05, 61, QHE-942, 6, 964.66 
2025-01-24, 78, PDJ-400, 8, 548.42 
2025-02-08, 4, OQX-000, 25, 640.71 
2025-02-06, 92, HYU-954, 29, 735.66 
2025-02-01, 63, RNN-395, 48, 316.75 
date_error, 92, DWU-899, 31, 647.13 
2025-03-15, 42, ULZ-485, 27, revenue_error 
date_error, 98, VSQ-791, 3, 623.34 
2025-02-19, 8, product_error, 25, 941.96 
2025-02-01, 2, product_error, 49, 481.12 
, 96, PTE-746, 15, 626.48 
2025-01-30, 92, EHE-274, 25, 797.33 
None, 92, VJC-369, 26, 111.25 
2025-03-11, 13, AEV-884, 25, 250.88 
2025-03-07, 36, UAV-276, 1, 32.19 
, 27, BAC-108, 50, 219.59 
2025-02-26, 50, product_error, 5, 871.64 
2025-01-07, 34, CKU-845, 37, 605.13 
2025-03-19, 4, RMQ-024, 19, 810.87 
2025-01-09, 47, VFE-758, 49, 783.95 
2025-01-03, 58, JKZ-715, 31, 660.69 
2025-02-27, 48, NQO-059, 15, 481.15 
2025-02-19, None, KDH-723, 39, 352.32 
2025-01-24, 95, KPV-075, , 798.8 
2025-02-16, 15, JGF-369, 41, 719.48 
2025-01-22, 83, GCS-711, 21, 684.17 
2025-03-17, 95, None, 3, 371.29 
2025-03-27, 92, , 14, revenue_error 
2025-01-31, 63, QZC-095, , 684.03 
2025-02-16, 14, SOA-609, 33, 829.42 
date_error, 80, product_error, 21, None 
2025-02-22, 38, None, 33, revenue_error 
2025-03-02, 46, CWT-047, 23, 461.96 
2025-03-05, None, USG-161, 24, 907.08 
2025-01-09, 83, YJG-843, 48, 333.58 
2025-01-08, 30, TYN-441, 38, 72.11 
date_error, 59, IJY-646, None, 95.56 
